id,access,wait,ivt,egress,is_synthetic
U1,0.468874187,0.435136959,0.013321309,-0.355319063,False
U2,-0.008726911,-0.016622219,0.432777004,0.225048549,False
U3,0.476672605,-0.125533337,1.345243583,-0.294921368,False
U4,0.49006526,0.452030795,0.012436377,-0.341226461,False
U5,0.080395586,-0.107940502,0.494699303,-0.261784697,False
U6,-0.1965048,0.39534044,0.585483481,-0.118866329,False
U7,0.476014423,0.45329025,0.009360131,-0.304874142,False
U8,-0.130295439,-0.264132732,0.236973746,-0.255165831,False
U9,0.07758437,-0.084199868,0.799520008,0.092366514,False
U10,0.408479128,-0.516772181,-0.252034009,-0.290492448,False
U11,0.483930629,0.416061516,0.024705714,-0.318358747,False
U12,-0.169491947,-0.188735791,0.31400534,-0.066914948,False
U13,0.115898496,-0.074881912,0.354860053,-0.230543989,False
U14,0.061266222,0.592196101,-0.264440386,0.073234444,False
U15,-0.336393104,-0.820734878,0.250364038,-0.118960666,False
U16,0.248030614,-0.301193847,0.314619691,0.148146409,False
U17,-0.124834119,-0.316712536,0.893783788,-0.336250975,False
U18,-0.197024619,-0.253327919,1.208425863,-0.592166447,False
U19,-0.151789755,-0.188781119,1.270734168,-0.588555689,False
U20,-0.244690682,0.16415863,1.055772684,-0.0027378,False
U21,-0.043152914,-0.08886897,0.285752992,0.199178895,False
U22,0.15485394,0.336779975,0.009511791,-0.085619233,False
U23,-0.189821661,-0.007470562,0.13553264,-0.383599316,False
U24,-0.202212935,-0.218321686,-0.582704948,-0.233954502,False
U25,-0.087420094,0.190445872,0.331138989,-0.055627823,False
U26,-0.176554409,-0.169642407,-0.683784881,-0.207013929,False
U27,-0.112739316,-0.142161009,-0.718811966,-0.14870995,False
U28,-0.255179726,-0.163853596,-0.731866051,-0.230990152,False
U29,-0.098185704,-0.267190584,-0.733642754,-0.196048371,False
U30,-0.09104959,0.205819311,0.364040661,-0.057221422,False
U31,0.126639973,-0.338922099,0.184542695,-0.165628605,False
U32,-0.157978947,-0.187448858,-0.803105156,-0.15681341,False
U33,0.20208531,0.080024678,0.237316813,0.387732575,False
U34,0.133259984,-0.169436828,0.171324323,-0.190529171,False
U35,-0.220888455,0.264570242,0.167595623,0.172523718,False
U36,0.153096421,0.330092118,-0.006086876,-0.094440878,False
U37,0.486037729,0.45627059,0.012454399,-0.348892577,False
U38,0.054692777,-0.412718264,-0.073639624,0.260103204,False
U39,-0.190058514,0.295970732,0.293979788,-0.221691898,False
U40,0.383910974,-0.481025201,-0.221967262,-0.294230981,False
U41,-0.120848616,-0.226400898,0.174874911,0.141749881,False
U42,0.05656017,-0.127534004,-0.038774047,-0.042526072,False
U43,0.056660996,0.017649311,0.722680573,-0.250185114,False
U44,-0.065967413,0.160165449,0.742250571,0.131412931,False
U45,-0.362548308,-0.34379663,0.101958086,0.201984165,False
U46,-0.141947619,-0.281065227,0.166392949,0.028567693,False
U47,0.396876995,-0.06015796,0.020444816,-0.266244688,False
U48,-0.180438019,-0.215012679,0.895659993,0.18883402,False
U49,-0.158926576,-0.010399389,0.063076194,-0.189522388,False
U50,-0.004500127,-0.375913137,0.172747354,0.084215592,False
U51,0.099729064,-0.299961338,0.264347383,-0.196997881,False
U52,0.191607812,-0.243802256,0.435299105,-0.194763732,False
U53,-0.285855979,0.558869992,-0.776366018,0.689906235,False
U54,0.128593123,-0.140646339,0.167876061,-0.162731083,False
U55,0.298294641,-0.286243621,0.252091819,-0.318264248,False
U56,-0.184408116,0.38343966,0.587157717,-0.120322448,False
U57,-0.105914469,-0.115348662,-0.491893598,-0.079824076,False
U58,-0.208824542,-0.209404003,-0.710114585,-0.2025053,False
U59,0.353084583,-0.436574357,0.408828981,-0.091728313,False
U60,0.142063791,-0.096096988,0.811514944,-0.193413218,False
U61,0.496628403,0.02879401,-0.228016645,0.208719485,False
U62,-0.248426302,-0.139308932,-0.706837332,-0.218827684,False
U63,0.392284682,0.06892595,0.141795795,0.52241772,False
U64,0.115885,-0.220193923,0.533506502,-0.100132639,False
U65,-0.22864533,-0.135910046,-0.665514016,-0.272642343,False
U66,-0.168708534,-0.218000637,0.238752378,-0.439683742,False
U67,0.082925567,-0.330546557,0.558055952,-0.669508587,False
U68,0.201382566,-0.283032487,0.134240375,-0.131948533,False
U69,-0.227214456,-0.260016556,-0.64116636,-0.272908916,False
U70,0.114443964,0.327604154,-0.188837106,0.186629065,False
U71,-0.111418755,-0.145483744,-0.655004011,-0.130146928,False
U72,-0.178098534,0.369457982,0.570078182,-0.110133427,False
U73,-0.177154054,-0.216093161,0.261531187,-0.444267552,False
U74,0.126913792,-0.338956076,0.185765734,-0.167354748,False
U75,-0.024913911,0.006669593,0.028173572,0.00679984,False
U76,0.199669826,0.194245779,0.025051649,-0.063570079,False
U77,0.057894701,-0.342304346,0.552144586,-0.672679823,False
U78,0.217348081,-0.140537406,0.690801466,-0.280868851,False
U79,0.258255805,-0.293577251,0.58595995,-0.058430022,False
U80,-0.025837036,0.255097453,0.796338741,0.239149739,False
U81,-0.085750488,-0.238957337,0.786842517,0.270217304,False
U82,-0.103991845,-0.143766249,-0.681661237,-0.159232961,False
U83,0.178089684,0.398550878,0.137168122,0.171994317,False
U84,-0.088441322,-0.161337564,0.208703124,-0.419566181,False
U85,0.538427956,0.502187623,0.016666945,-0.476659624,False
U86,-0.138751529,-0.203464399,-0.376739696,-0.176190622,False
U87,-0.040753466,-0.074449982,0.747475218,0.168415822,False
U88,0.000213932,0.367472297,0.088336773,-0.084529302,False
U89,-0.173941465,-0.180630484,-0.803202127,-0.204275598,False
U90,0.018725945,0.44830612,0.514798656,0.009812367,False
U91,-0.200328315,-0.154598225,-0.673256732,-0.203648887,False
U92,-0.115382016,-0.191045147,-0.672107436,-0.13772211,False
U93,-0.190728783,-0.333363184,-0.585162611,-0.194633731,False
U94,-0.049293641,-0.087905923,0.395595712,0.282655996,False
U95,-0.125702048,-0.178733174,1.220000792,-0.600414404,False
U96,0.012826304,0.070670193,0.038084266,0.199739415,False
U97,-0.736448874,-0.000480136,0.090047175,-0.012816896,False
U98,-0.379159007,-0.321319454,0.115286391,0.199211542,False
U99,-0.02066946,-0.088919799,1.278407193,-0.119495806,False
U100,0.2385032,-0.409393859,0.329912165,0.051812195,False
U101,0.521518152,0.483559788,0.017980411,-0.395352865,False
U102,-0.218990374,-0.662659577,0.502074436,-0.351079195,False
U103,0.158154459,-0.183563199,0.137265756,-0.170520968,False
U104,-0.095245233,0.220915148,0.381679344,-0.063962068,False
U105,-0.186492728,-0.16691074,-0.733957635,-0.196446385,False
U106,-0.166015797,0.275421317,0.33218084,-0.207302284,False
U107,0.715326962,0.487226641,-0.012355189,-0.409991366,False
U108,-0.269695314,0.397918836,0.081297818,0.091653349,False
U109,0.227675651,0.154866691,0.057553014,-0.164073472,False
U110,0.475444181,0.454511396,0.007903967,-0.344964615,False
U111,0.726878641,0.505214021,-0.007021095,-0.481178622,False
U112,0.136846392,-0.1748192,0.159786358,-0.147631443,False
U113,0.470432505,0.00988554,-0.202881094,0.190052578,False
U114,-0.335855615,-0.80265786,0.260422136,-0.107517857,False
U115,-0.235434353,-0.155177342,-0.719562358,-0.293723563,False
U116,0.269968325,-0.35402005,0.149236447,0.020012637,False
U117,-0.069966444,-0.173474764,0.041798634,-0.066113116,False
U118,0.092736115,0.320496627,0.227500824,-0.272673438,False
U119,0.142368435,0.301565526,-0.00360727,-0.095856818,False
U120,-0.080564262,-0.155994702,-0.730942083,-0.16149177,False
U121,0.393422544,0.021414121,-0.237274744,0.148560756,False
U122,0.199607955,-0.261192049,-0.109293298,0.053541887,False
U123,0.053455124,0.004010226,0.004228595,0.004944238,False
U124,-0.242823928,0.306050088,0.224971635,-0.190527195,False
U125,-0.193245993,-0.067195694,-0.543046784,-0.175007615,False
U126,-0.19843811,-0.201068136,0.288095429,-0.087338761,False
U127,0.112449272,-0.323773664,0.208824963,-0.189087589,False
U128,0.495623124,0.447809572,0.021364622,-0.340709923,False
U129,-0.020053734,0.245860173,0.940555224,0.243448346,False
U130,0.060377299,-0.136856004,0.458410815,-0.257308876,False
U131,-0.130749521,0.021905827,0.127028185,-0.095867173,False
U132,0.535626279,0.467554607,0.029872868,-0.40590225,False
U133,0.311778809,0.071868188,-0.038952172,-0.059444455,False
U134,-0.143977752,-0.223211989,0.202067282,-0.195896293,False
U135,0.060822357,-0.130440613,0.450803042,-0.245686124,False
U136,-0.107386931,0.01561354,0.097812664,-0.068642982,False
U137,0.065472814,-0.107754775,0.516722151,-0.240212576,False
U138,-0.140597094,-0.215290253,0.796926509,0.220459974,False
U139,0.477008322,0.04229717,-0.236389431,0.207049447,False
U140,-0.177822367,0.378995929,-0.546983752,0.762829744,False
U141,-0.128209745,0.301850337,0.450553768,-0.155937243,False
U142,0.339049696,-0.039940574,0.288938823,0.401469511,False
U143,0.155968027,-0.173274278,0.181110341,-0.150033062,False
U144,-0.127751793,-0.740184395,0.330600728,-0.040707186,False
U145,0.131964909,0.465848492,-0.318385006,0.140009626,False
U146,0.085928769,-0.504739537,0.823744888,0.259123009,False
